"timestamp","source","target","latency_ms","bandwidth_mbps","cpu_source","cpu_target","mem_source","mem_target","packet_loss_rate","alarm_status_source","alarm_status_target","latency_avg_source","latency_avg_target"
"2025-06-29T20:56:10.452Z","AMF_004","gNB_001",16,1000,8.32,86.85,41.56,71.1,0.99,0,1,14.3,10.37
"2025-06-29T20:56:10.452Z","gNB_012","gNB_002",20,50,92.28,7.67,51.73,29.87,1.6349999999999998,2,0,24.53,19.33
"2025-06-29T20:56:10.452Z","FIREWALL_001","gNB_002",22,100,91.14,7.67,32.82,29.87,1.75,2,0,26.08,19.33
"2025-06-29T20:56:10.452Z","FIREWALL_001","gNB_002",22,1000,91.14,7.67,32.82,29.87,1.75,2,0,26.08,19.33
"2025-06-29T20:56:10.452Z","AMF_002","gNB_003",21,1000,82.94,84.9,55.75,33.78,1.81,1,1,29.64,10.72
"2025-06-29T20:56:10.452Z","FIREWALL_001","gNB_004",19,100,91.14,36.45,32.82,75.61,1.7199999999999998,2,0,26.08,17.42
"2025-06-29T20:56:10.452Z","FIREWALL_005","gNB_004",13,50,58.17,36.45,40.29,75.61,1.285,0,0,17.82,17.42
"2025-06-29T20:56:10.452Z","gNB_002","gNB_005",27,100,7.67,35.55,29.87,56.46,1.33,0,1,19.33,28.43
"2025-06-29T20:56:10.452Z","AMF_001","gNB_005",27,500,92.28,35.55,49.72,56.46,1.45,2,1,19.61,28.43
"2025-06-29T20:56:10.452Z","MONITOR_004","gNB_005",22,1000,6.41,35.55,67.04,56.46,1.025,0,1,11.13,28.43
"2025-06-29T20:56:10.452Z","gNB_009","gNB_006",11,1000,47.24,47.64,62.67,24.35,0.96,0,0,11.12,11.41
"2025-06-29T20:56:10.452Z","gNB_006","gNB_007",14,200,47.64,87.24,24.35,54.98,1.1,0,1,11.41,22.72
"2025-06-29T20:56:10.452Z","UPF_001","gNB_008",31,50,6.59,85.29,73.62,27.02,2.26,0,2,14.96,56.89
"2025-06-29T20:56:10.452Z","MONITOR_003","gNB_008",40,1000,9.02,85.29,47.63,27.02,2.25,0,2,15.38,56.89
"2025-06-29T20:56:10.452Z","gNB_012","gNB_009",16,200,92.28,47.24,51.73,62.67,1.625,2,0,24.53,11.12
"2025-06-29T20:56:10.452Z","EDGE_DC_004","gNB_009",16,100,45.97,47.24,75.74,62.67,1.43,0,0,19.11,11.12
"2025-06-29T20:56:10.452Z","EDGE_DC_006","gNB_009",31,50,7.04,47.24,56.82,62.67,1.995,1,0,44.55,11.12
"2025-06-29T20:56:10.452Z","FIREWALL_005","gNB_009",16,100,58.17,47.24,40.29,62.67,1.305,0,0,17.82,11.12
"2025-06-29T20:56:10.452Z","FIREWALL_005","gNB_009",10,500,58.17,47.24,40.29,62.67,1.305,0,0,17.82,11.12
"2025-06-29T20:56:10.452Z","AMF_007","gNB_010",8,500,90.36,10.31,37.96,32.4,0.89,2,0,11.38,12.87
