"timestamp","source","target","latency_ms","bandwidth_mbps","cpu_source","cpu_target","mem_source","mem_target","packet_loss_rate","alarm_status_source","alarm_status_target","latency_avg_source","latency_avg_target"
"2025-06-29T21:27:17.698Z","AMF_004","gNB_001",19,500,24.83,36.47,67.26,47.37,1.555,0,0,19.95,13.37
"2025-06-29T21:27:17.698Z","gNB_012","gNB_002",24,500,44.31,53.21,37.98,43.68,1.665,0,1,21.25,26.52
"2025-06-29T21:27:17.698Z","FIREWALL_001","gNB_002",39,50,55.11,53.21,35.75,43.68,2.375,1,1,47.26,26.52
"2025-06-29T21:27:17.698Z","FIREWALL_001","gNB_002",40,100,55.11,53.21,35.75,43.68,2.375,1,1,47.26,26.52
"2025-06-29T21:27:17.698Z","AMF_002","gNB_003",26,50,59.58,33.4,61.77,46.34,1.9849999999999999,0,1,21.84,29.69
"2025-06-29T21:27:17.698Z","FIREWALL_001","gNB_004",35,100,55.11,44.63,35.75,46.95,2.2,1,1,47.26,28.76
"2025-06-29T21:27:17.698Z","FIREWALL_005","gNB_004",18,100,40.47,44.63,45.7,46.95,1.23,0,1,11.48,28.76
"2025-06-29T21:27:17.698Z","gNB_002","gNB_005",29,50,53.21,30.48,43.68,67.46,1.74,1,1,26.52,27.41
"2025-06-29T21:27:17.698Z","AMF_001","gNB_005",27,1000,71.62,30.48,40.15,67.46,1.5750000000000002,1,1,20.81,27.41
"2025-06-29T21:27:17.698Z","MONITOR_004","gNB_005",24,50,42.34,30.48,27.03,67.46,1.54,0,1,16.17,27.41
"2025-06-29T21:27:17.698Z","gNB_009","gNB_006",23,1000,65.56,57.88,37.33,24.8,1.335,0,0,22.18,24.88
"2025-06-29T21:27:17.698Z","gNB_006","gNB_007",17,500,57.88,27.18,24.8,57.19,1.545,0,0,24.88,16.71
"2025-06-29T21:27:17.698Z","UPF_001","gNB_008",23,50,48.33,35.47,52.6,41.09,1.175,0,0,22.54,19.94
"2025-06-29T21:27:17.698Z","MONITOR_003","gNB_008",27,500,42.4,35.47,37.64,41.09,1.4849999999999999,1,0,29.44,19.94
"2025-06-29T21:27:17.698Z","gNB_012","gNB_009",25,1000,44.31,65.56,37.98,37.33,1.335,0,0,21.25,22.18
"2025-06-29T21:27:17.698Z","EDGE_DC_004","gNB_009",14,1000,55.91,65.56,69.87,37.33,1.205,0,0,14.69,22.18
"2025-06-29T21:27:17.698Z","EDGE_DC_006","gNB_009",24,500,49.8,65.56,63.34,37.33,1.6549999999999998,0,0,23.14,22.18
"2025-06-29T21:27:17.698Z","FIREWALL_005","gNB_009",12,500,40.47,65.56,45.7,37.33,1.075,0,0,11.48,22.18
"2025-06-29T21:27:17.698Z","FIREWALL_005","gNB_009",20,50,40.47,65.56,45.7,37.33,1.075,0,0,11.48,22.18
"2025-06-29T21:27:17.698Z","AMF_007","gNB_010",21,1000,47.3,66.18,60.37,28.61,1.315,0,1,22.8,27.18
"2025-06-29T21:27:17.698Z","gNB_013","gNB_012",26,100,26.08,44.31,31.36,37.98,1.7,1,0,27.84,21.25
"2025-06-29T21:27:17.698Z","SMF_003","gNB_012",20,1000,27.04,44.31,62.87,37.98,1.3900000000000001,0,0,22.9,21.25
"2025-06-29T21:27:17.698Z","CORE_DC_003","gNB_012",10,200,31.87,44.31,49.44,37.98,1.325,0,0,10.06,21.25
"2025-06-29T21:27:17.698Z","gNB_009","gNB_013",27,500,65.56,26.08,37.33,31.36,1.585,0,1,22.18,27.84
"2025-06-29T21:27:17.698Z","gNB_013","gNB_014",23,500,26.08,26.58,31.36,49.22,1.905,1,0,27.84,18.92
"2025-06-29T21:27:17.698Z","UPF_010","gNB_014",20,500,62.28,26.58,67.81,49.22,1.63,0,0,24.71,18.92
"2025-06-29T21:27:17.698Z","gNB_002","gNB_015",20,500,53.21,35.1,43.68,39.11,1.585,1,0,26.52,11.72
"2025-06-29T21:27:17.698Z","gNB_009","gNB_015",12,50,65.56,35.1,37.33,39.11,1.255,0,0,22.18,11.72
"2025-06-29T21:27:17.698Z","gNB_013","gNB_015",18,500,26.08,35.1,31.36,39.11,1.62,1,0,27.84,11.72
"2025-06-29T21:27:17.698Z","gNB_017","gNB_015",11,100,71.34,35.1,59.71,39.11,1.245,1,0,19.2,11.72
"2025-06-29T21:27:17.698Z","MONITOR_004","gNB_015",9,500,42.34,35.1,27.03,39.11,1.385,0,0,16.17,11.72
"2025-06-29T21:27:17.698Z","AMF_003","gNB_016",18,1000,51.07,51.86,53.88,45.92,1.195,1,0,26.1,17.92
"2025-06-29T21:27:17.698Z","AMF_008","gNB_016",23,100,33.13,51.86,29.42,45.92,1.2349999999999999,0,0,24.63,17.92
"2025-06-29T21:27:17.698Z","SMF_003","gNB_016",19,1000,27.04,51.86,62.87,45.92,1.195,0,0,22.9,17.92
"2025-06-29T21:27:17.698Z","gNB_001","gNB_018",14,100,36.47,26.56,47.37,23.13,1.5299999999999998,0,0,13.37,19.72
"2025-06-29T21:27:17.698Z","gNB_016","gNB_018",20,100,51.86,26.56,45.92,23.13,1.48,0,0,17.92,19.72
"2025-06-29T21:27:17.698Z","UPF_003","gNB_018",21,500,37.34,26.56,63.78,23.13,1.7149999999999999,0,0,24.71,19.72
"2025-06-29T21:27:17.698Z","AMF_001","gNB_018",18,50,71.62,26.56,40.15,23.13,1.725,1,0,20.81,19.72
"2025-06-29T21:27:17.698Z","SMF_002","gNB_018",24,50,50.48,26.56,46.02,23.13,1.785,1,0,27.09,19.72
"2025-06-29T21:27:17.698Z","gNB_020","gNB_019",17,200,37.35,70.79,52.91,33.52,1.555,0,1,16.6,16.98
"2025-06-29T21:27:17.698Z","gNB_009","gNB_020",14,100,65.56,37.35,37.33,52.91,1.475,0,0,22.18,16.6
"2025-06-29T21:27:17.698Z","gNB_015","gNB_020",17,1000,35.1,37.35,39.11,52.91,1.51,0,0,11.72,16.6
"2025-06-29T21:27:17.698Z","UPF_002","gNB_020",27,100,58.35,37.35,22.55,52.91,1.845,1,0,29.92,16.6
"2025-06-29T21:27:17.698Z","AMF_002","gNB_020",23,100,59.58,37.35,61.77,52.91,1.725,0,0,21.84,16.6
"2025-06-29T21:27:17.698Z","EDGE_DC_003","gNB_020",33,500,70.41,37.35,41.59,52.91,2.54,1,0,49.07,16.6
"2025-06-29T21:27:17.698Z","EDGE_DC_004","gNB_020",17,500,55.91,37.35,69.87,52.91,1.46,0,0,14.69,16.6
"2025-06-29T21:27:17.698Z","FIREWALL_001","gNB_020",27,1000,55.11,37.35,35.75,52.91,2.3,1,0,47.26,16.6
"2025-06-29T21:27:17.698Z","gNB_006","UPF_001",21,500,57.88,48.33,24.8,52.6,1.385,0,0,24.88,22.54
"2025-06-29T21:27:17.698Z","EDGE_DC_003","UPF_002",39,200,70.41,58.35,41.59,22.55,2.6550000000000002,1,1,49.07,29.92
"2025-06-29T21:27:17.698Z","gNB_002","UPF_003",28,200,53.21,37.34,43.68,63.78,1.705,1,0,26.52,24.71
"2025-06-29T21:27:17.698Z","gNB_003","UPF_003",27,500,33.4,37.34,46.34,63.78,1.8900000000000001,1,0,29.69,24.71
"2025-06-29T21:27:17.698Z","EDGE_DC_005","UPF_003",17,1000,70.23,37.34,39.84,63.78,1.5550000000000002,1,0,18.65,24.71
"2025-06-29T21:27:17.698Z","MONITOR_002","UPF_004",26,50,26.94,59.34,56.21,21.3,1.69,1,0,27.1,24.43
"2025-06-29T21:27:17.698Z","UPF_008","UPF_005",15,500,57.87,55.27,34.3,44.38,1.385,0,0,11.03,17.94
"2025-06-29T21:27:17.698Z","AMF_004","UPF_005",21,50,24.83,55.27,67.26,44.38,1.615,0,0,19.95,17.94
"2025-06-29T21:27:17.698Z","gNB_007","UPF_006",23,1000,27.18,58.98,57.19,49.76,1.3399999999999999,0,0,16.71,20.6
"2025-06-29T21:27:17.698Z","AMF_007","UPF_006",20,100,47.3,58.98,60.37,49.76,1.125,0,0,22.8,20.6
"2025-06-29T21:27:17.698Z","SMF_006","UPF_006",34,1000,65.01,58.98,35.87,49.76,1.705,1,0,41.63,20.6
"2025-06-29T21:27:17.698Z","gNB_012","UPF_008",17,50,44.31,57.87,37.98,34.3,1.47,0,0,21.25,11.03
"2025-06-29T21:27:17.698Z","UPF_004","UPF_008",21,200,59.34,57.87,21.3,34.3,1.53,0,0,24.43,11.03
"2025-06-29T21:27:17.698Z","SMF_007","UPF_008",14,1000,29.89,57.87,63.67,34.3,1.16,0,0,14.07,11.03
"2025-06-29T21:27:17.698Z","gNB_017","UPF_009",19,500,71.34,55.58,59.71,62.46,1.395,1,0,19.2,21.59
"2025-06-29T21:27:17.698Z","UPF_010","UPF_009",22,100,62.28,55.58,67.81,62.46,1.495,0,0,24.71,21.59
"2025-06-29T21:27:17.698Z","SMF_007","UPF_009",13,1000,29.89,55.58,63.67,62.46,1.21,0,0,14.07,21.59
"2025-06-29T21:27:17.698Z","EDGE_DC_006","UPF_009",23,200,49.8,55.58,63.34,62.46,1.8399999999999999,0,0,23.14,21.59
"2025-06-29T21:27:17.698Z","FIREWALL_005","UPF_009",21,1000,40.47,55.58,45.7,62.46,1.26,0,0,11.48,21.59
"2025-06-29T21:27:17.698Z","UPF_007","UPF_010",14,100,41.66,62.28,27.62,67.81,1.3199999999999998,0,0,13.48,24.71
"2025-06-29T21:27:17.698Z","MONITOR_004","UPF_010",17,100,42.34,62.28,27.03,67.81,1.44,0,0,16.17,24.71
"2025-06-29T21:27:17.698Z","AMF_008","AMF_001",21,500,33.13,71.62,29.42,40.15,1.48,0,1,24.63,20.81
"2025-06-29T21:27:17.698Z","gNB_019","AMF_002",17,50,70.79,59.58,33.52,61.77,1.5499999999999998,1,0,16.98,21.84
"2025-06-29T21:27:17.698Z","UPF_003","AMF_002",24,50,37.34,59.58,63.78,61.77,1.625,0,0,24.71,21.84
"2025-06-29T21:27:17.698Z","UPF_009","AMF_002",24,200,55.58,59.58,62.46,61.77,1.655,0,0,21.59,21.84
"2025-06-29T21:27:17.698Z","FIREWALL_005","AMF_002",18,1000,40.47,59.58,45.7,61.77,1.325,0,0,11.48,21.84
"2025-06-29T21:27:17.698Z","UPF_008","AMF_003",16,1000,57.87,51.07,34.3,53.88,1.4100000000000001,0,1,11.03,26.1
"2025-06-29T21:27:17.698Z","gNB_005","AMF_004",22,100,30.48,24.83,67.46,67.26,1.775,1,0,27.41,19.95
"2025-06-29T21:27:17.698Z","AMF_007","AMF_004",16,200,47.3,24.83,60.37,67.26,1.58,0,0,22.8,19.95
"2025-06-29T21:27:17.698Z","CORE_DC_003","AMF_004",15,100,31.87,24.83,49.44,67.26,1.575,0,0,10.06,19.95
"2025-06-29T21:27:17.698Z","FIREWALL_001","AMF_005",38,50,55.11,67.63,35.75,32.57,2.165,1,0,47.26,22.32
"2025-06-29T21:27:17.698Z","CORE_DC_001","AMF_006",20,50,27.36,53.11,21.35,37.97,1.13,0,0,15.05,17.63
"2025-06-29T21:27:17.698Z","CORE_DC_003","AMF_006",18,50,31.87,53.11,49.44,37.97,1.3199999999999998,0,0,10.06,17.63
"2025-06-29T21:27:17.698Z","CORE_DC_004","AMF_006",15,500,41.35,53.11,41.54,37.97,1.6949999999999998,0,0,21.56,17.63
"2025-06-29T21:27:17.698Z","gNB_006","AMF_008",21,1000,57.88,33.13,24.8,29.42,1.43,0,0,24.88,24.63
"2025-06-29T21:27:17.698Z","gNB_011","AMF_008",25,500,66.9,33.13,62.99,29.42,1.42,1,0,26.93,24.63
"2025-06-29T21:27:17.698Z","gNB_015","AMF_008",17,1000,35.1,33.13,39.11,29.42,1.35,0,0,11.72,24.63
"2025-06-29T21:27:17.698Z","gNB_015","SMF_001",18,200,35.1,22.99,39.11,32.76,1.35,0,0,11.72,23.41
"2025-06-29T21:27:17.698Z","gNB_015","SMF_001",22,500,35.1,22.99,39.11,32.76,1.35,0,0,11.72,23.41
"2025-06-29T21:27:17.698Z","SMF_007","SMF_001",16,50,29.89,22.99,63.67,32.76,1.1199999999999999,0,0,14.07,23.41
"2025-06-29T21:27:17.698Z","CORE_DC_004","SMF_001",25,500,41.35,22.99,41.54,32.76,1.68,0,0,21.56,23.41
"2025-06-29T21:27:17.698Z","FIREWALL_004","SMF_001",25,50,39.23,22.99,66.74,32.76,1.71,1,0,27.25,23.41
"2025-06-29T21:27:17.698Z","gNB_009","SMF_002",19,50,65.56,50.48,37.33,46.02,1.4449999999999998,0,1,22.18,27.09
"2025-06-29T21:27:17.698Z","gNB_010","SMF_002",28,50,66.18,50.48,28.61,46.02,1.545,1,1,27.18,27.09
"2025-06-29T21:27:17.698Z","UPF_003","SMF_002",21,500,37.34,50.48,63.78,46.02,1.6,0,1,24.71,27.09
"2025-06-29T21:27:17.698Z","UPF_003","SMF_003",22,1000,37.34,27.04,63.78,62.87,1.4300000000000002,0,0,24.71,22.9
"2025-06-29T21:27:17.698Z","AMF_003","SMF_003",22,50,51.07,27.04,53.88,62.87,1.33,1,0,26.1,22.9
"2025-06-29T21:27:17.698Z","AMF_004","SMF_004",22,200,24.83,59.96,67.26,44.9,1.97,0,0,19.95,23.33
"2025-06-29T21:27:17.698Z","SMF_003","SMF_004",25,1000,27.04,59.96,62.87,44.9,1.6600000000000001,0,0,22.9,23.33
"2025-06-29T21:27:17.698Z","CORE_DC_002","SMF_004",21,1000,24.13,59.96,48.47,44.9,1.8199999999999998,0,0,20.34,23.33
"2025-06-29T21:27:17.698Z","AMF_008","SMF_005",21,200,33.13,29.26,29.42,46.8,1.51,0,0,24.63,21.4
"2025-06-29T21:27:17.698Z","SMF_002","SMF_005",25,50,50.48,29.26,46.02,46.8,1.6400000000000001,1,0,27.09,21.4
"2025-06-29T21:27:17.698Z","gNB_005","SMF_006",36,50,30.48,65.01,67.46,35.87,1.985,1,1,27.41,41.63
