"timestamp","id","type","alarm_status","cpu_usage","memory_usage","latency_avg","packet_loss_rate","is_overloaded"
"2025-06-30T07:58:24.817Z","AMF_004","Node","GREEN",67.38,47.47,22.02,1.85,false
"2025-06-30T07:58:24.817Z","gNB_001","Node","GREEN",22.84,58.69,14.71,0.89,false
"2025-06-30T07:58:24.817Z","gNB_012","Node","GREEN",56.82,52.1,24.94,1.74,false
"2025-06-30T07:58:24.817Z","gNB_002","Node","GREEN",35.32,57.03,14.81,1.45,false
"2025-06-30T07:58:24.817Z","FIREWALL_001","Node","GREEN",58.08,35.05,19.04,1.39,false
"2025-06-30T07:58:24.817Z","AMF_002","Node","GREEN",28.12,30.08,15.66,1.24,false
"2025-06-30T07:58:24.817Z","gNB_003","Node","GREEN",42.11,64.16,22.87,1.23,false
"2025-06-30T07:58:24.817Z","gNB_004","Node","GREEN",23.77,47.53,15.65,1.43,false
"2025-06-30T07:58:24.817Z","FIREWALL_005","Node","GREEN",47.96,45.5,24.4,1.9,false
"2025-06-30T07:58:24.817Z","gNB_005","Node","YELLOW",51.91,25.81,29.27,2.13,false
"2025-06-30T07:58:24.817Z","AMF_001","Node","GREEN",66.65,66.83,19.89,1.18,false
"2025-06-30T07:58:24.817Z","MONITOR_004","Node","GREEN",28.42,58.71,16.73,1.28,false
"2025-06-30T07:58:24.817Z","gNB_009","Node","GREEN",35.76,65.26,22.9,1.21,false
"2025-06-30T07:58:24.817Z","gNB_006","Node","GREEN",59.53,57.56,10.53,1.1,false
"2025-06-30T07:58:24.817Z","gNB_007","Node","GREEN",31.28,68.41,21.71,1.64,false
"2025-06-30T07:58:24.817Z","UPF_001","Node","GREEN",37.32,48.29,24.64,1.73,false
"2025-06-30T07:58:24.817Z","gNB_008","Node","GREEN",66.42,29.1,22.01,1.51,false
"2025-06-30T07:58:24.817Z","MONITOR_003","Node","YELLOW",42.04,25.7,27.52,1.87,false
"2025-06-30T07:58:24.817Z","EDGE_DC_004","Node","GREEN",65.79,21.57,11.62,0.91,false
"2025-06-30T07:58:24.817Z","EDGE_DC_006","Node","GREEN",69.6,52.13,20.94,1.71,false
"2025-06-30T07:58:24.817Z","AMF_007","Node","GREEN",26.54,32.52,18.44,1.37,false
"2025-06-30T07:58:24.817Z","gNB_010","Node","GREEN",40.22,58.99,21.94,1.43,false
"2025-06-30T07:58:24.817Z","gNB_013","Node","GREEN",25.61,44.21,15.7,1.68,false
"2025-06-30T07:58:24.817Z","SMF_003","Node","YELLOW",63.78,39.06,40.91,2.84,false
"2025-06-30T07:58:24.817Z","CORE_DC_003","Node","GREEN",36.7,66.14,21.6,1.44,false
"2025-06-30T07:58:24.817Z","gNB_014","Node","YELLOW",40.42,30.45,25.19,1.44,false
"2025-06-30T07:58:24.817Z","UPF_010","Node","YELLOW",51.72,33,45.67,3.09,false
"2025-06-30T07:58:24.817Z","gNB_015","Node","GREEN",68.11,57.47,21.3,1.66,false
"2025-06-30T07:58:24.817Z","gNB_017","Node","YELLOW",51.1,26.31,27.35,2.15,false
"2025-06-30T07:58:24.817Z","AMF_003","Node","GREEN",51.07,36.4,22.25,1.73,false
"2025-06-30T07:58:24.817Z","gNB_016","Node","GREEN",64.14,20.07,19.74,1.74,false
"2025-06-30T07:58:24.817Z","AMF_008","Node","GREEN",27.14,59.37,17.18,1.7,false
"2025-06-30T07:58:24.817Z","gNB_018","Node","RED",46.26,61.84,58.38,3.33,false
"2025-06-30T07:58:24.817Z","UPF_003","Node","GREEN",60.59,43.39,15.84,0.82,false
"2025-06-30T07:58:24.817Z","SMF_002","Node","YELLOW",26,33,40.17,2.43,false
"2025-06-30T07:58:24.817Z","gNB_020","Node","GREEN",54.11,31.78,17.09,0.97,false
"2025-06-30T07:58:24.817Z","gNB_019","Node","YELLOW",59.24,70.73,28.04,2.29,false
"2025-06-30T07:58:24.817Z","UPF_002","Node","GREEN",37.15,60.58,14,0.74,false
"2025-06-30T07:58:24.817Z","EDGE_DC_003","Node","YELLOW",70.23,59.34,13.06,0.87,false
"2025-06-30T07:58:24.817Z","EDGE_DC_005","Node","YELLOW",59.71,65.11,25.85,1.53,false
"2025-06-30T07:58:24.817Z","MONITOR_002","Node","YELLOW",58.23,41.93,27.61,1.48,false
"2025-06-30T07:58:24.817Z","UPF_004","Node","GREEN",65.15,48.71,22.18,1.13,false
"2025-06-30T07:58:24.817Z","UPF_008","Node","GREEN",28.84,44.94,15.88,0.91,false
