"timestamp","id","type","alarm_status","cpu_usage","memory_usage","latency_avg","packet_loss_rate","is_overloaded"
"2025-06-29T20:57:17.940Z","AMF_004","Node","GREEN",20.77,44.21,15.39,1.71,false
"2025-06-29T20:57:17.940Z","gNB_001","Node","RED",100,69.64,19.26,1.36,true
"2025-06-29T20:57:17.940Z","gNB_012","Node","RED",100,52.6,29.64,1.51,true
"2025-06-29T20:57:17.940Z","gNB_002","Node","GREEN",19.58,24.59,10.37,1.16,false
"2025-06-29T20:57:17.940Z","FIREWALL_001","Node","RED",100,33.81,11.47,0.62,true
"2025-06-29T20:57:17.940Z","AMF_002","Node","RED",99.28,62.45,12.94,1.46,true
"2025-06-29T20:57:17.940Z","gNB_003","Node","RED",100,32.3,22.06,1.26,true
"2025-06-29T20:57:17.940Z","gNB_004","Node","GREEN",49.76,84.51,12.98,0.87,false
"2025-06-29T20:57:17.940Z","FIREWALL_005","Node","GREEN",64.11,39.15,23.85,1.58,false
"2025-06-29T20:57:17.940Z","gNB_005","Node","GREEN",47.52,53.37,12.54,1.38,false
"2025-06-29T20:57:17.940Z","AMF_001","Node","RED",100,51.84,23.98,2.19,true
"2025-06-29T20:57:17.940Z","MONITOR_004","Node","YELLOW",17.3,59.19,29.57,1.64,false
"2025-06-29T20:57:17.940Z","gNB_009","Node","GREEN",59.21,59.42,12.77,1.54,false
"2025-06-29T20:57:17.940Z","gNB_006","Node","GREEN",51.57,28.69,16.73,1.45,false
"2025-06-29T20:57:17.940Z","gNB_007","Node","RED",100,54.13,29.77,2.16,true
"2025-06-29T20:57:17.940Z","UPF_001","Node","GREEN",17.62,72.02,19.05,1.8,false
"2025-06-29T20:57:17.940Z","gNB_008","Node","RED",100,32.71,21.19,1.94,true
"2025-06-29T20:57:17.940Z","MONITOR_003","Node","YELLOW",21.96,50.89,27.97,2.04,false
"2025-06-29T20:57:17.940Z","EDGE_DC_004","Node","YELLOW",53.25,81.35,25.67,1.85,false
"2025-06-29T20:57:17.940Z","EDGE_DC_006","Node","GREEN",18.42,51.25,13.94,1.01,false
