"timestamp","source","target","latency_ms","bandwidth_mbps","cpu_source","cpu_target","mem_source","mem_target","packet_loss_rate","alarm_status_source","alarm_status_target","latency_avg_source","latency_avg_target"
"2025-06-29T20:57:17.940Z","AMF_004","gNB_001",20,100,20.77,100,44.21,69.64,1.5350000000000001,0,2,15.39,19.26
"2025-06-29T20:57:17.940Z","gNB_012","gNB_002",21,500,100,19.58,52.6,24.59,1.335,2,0,29.64,10.37
"2025-06-29T20:57:17.940Z","FIREWALL_001","gNB_002",10,100,100,19.58,33.81,24.59,0.8899999999999999,2,0,11.47,10.37
"2025-06-29T20:57:17.940Z","FIREWALL_001","gNB_002",13,50,100,19.58,33.81,24.59,0.8899999999999999,2,0,11.47,10.37
"2025-06-29T20:57:17.940Z","AMF_002","gNB_003",15,200,99.28,100,62.45,32.3,1.3599999999999999,2,2,12.94,22.06
"2025-06-29T20:57:17.940Z","FIREWALL_001","gNB_004",12,200,100,49.76,33.81,84.51,0.745,2,0,11.47,12.98
"2025-06-29T20:57:17.940Z","FIREWALL_005","gNB_004",17,1000,64.11,49.76,39.15,84.51,1.225,0,0,23.85,12.98
"2025-06-29T20:57:17.940Z","gNB_002","gNB_005",15,1000,19.58,47.52,24.59,53.37,1.27,0,0,10.37,12.54
"2025-06-29T20:57:17.940Z","AMF_001","gNB_005",20,200,100,47.52,51.84,53.37,1.785,2,0,23.98,12.54
"2025-06-29T20:57:17.940Z","MONITOR_004","gNB_005",18,500,17.3,47.52,59.19,53.37,1.5099999999999998,1,0,29.57,12.54
"2025-06-29T20:57:17.940Z","gNB_009","gNB_006",16,1000,59.21,51.57,59.42,28.69,1.495,0,0,12.77,16.73
"2025-06-29T20:57:17.940Z","gNB_006","gNB_007",21,1000,51.57,100,28.69,54.13,1.8050000000000002,0,2,16.73,29.77
"2025-06-29T20:57:17.940Z","UPF_001","gNB_008",15,100,17.62,100,72.02,32.71,1.87,0,2,19.05,21.19
"2025-06-29T20:57:17.940Z","MONITOR_003","gNB_008",24,50,21.96,100,50.89,32.71,1.99,1,2,27.97,21.19
"2025-06-29T20:57:17.940Z","gNB_012","gNB_009",25,200,100,59.21,52.6,59.42,1.525,2,0,29.64,12.77
"2025-06-29T20:57:17.940Z","EDGE_DC_004","gNB_009",21,200,53.25,59.21,81.35,59.42,1.695,1,0,25.67,12.77
"2025-06-29T20:57:17.940Z","EDGE_DC_006","gNB_009",10,500,18.42,59.21,51.25,59.42,1.275,0,0,13.94,12.77
"2025-06-29T20:57:17.940Z","FIREWALL_005","gNB_009",15,50,64.11,59.21,39.15,59.42,1.56,0,0,23.85,12.77
"2025-06-29T20:57:17.940Z","FIREWALL_005","gNB_009",13,50,64.11,59.21,39.15,59.42,1.56,0,0,23.85,12.77
"2025-06-29T20:57:17.940Z","AMF_007","gNB_010",24,500,100,17.3,42.79,34.46,1.405,2,0,27.95,15.2
"2025-06-29T20:57:17.940Z","gNB_013","gNB_012",27,500,87.88,100,45.13,52.6,1.6600000000000001,1,2,27.52,29.64
"2025-06-29T20:57:17.940Z","SMF_003","gNB_012",31,100,22.8,100,50.79,52.6,1.395,0,2,22.79,29.64
"2025-06-29T20:57:17.940Z","CORE_DC_003","gNB_012",24,50,100,100,64.77,52.6,1.18,2,2,13.19,29.64
"2025-06-29T20:57:17.940Z","gNB_009","gNB_013",20,1000,59.21,87.88,59.42,45.13,1.675,0,1,12.77,27.52
"2025-06-29T20:57:17.940Z","gNB_013","gNB_014",25,50,87.88,27.27,45.13,42.9,1.4300000000000002,1,0,27.52,20.13
"2025-06-29T20:57:17.940Z","UPF_010","gNB_014",44,500,68.77,27.27,52.49,42.9,2.33,2,0,63.6,20.13
"2025-06-29T20:57:17.940Z","gNB_002","gNB_015",13,100,19.58,17.94,24.59,32.94,1.545,0,0,10.37,20.54
"2025-06-29T20:57:17.940Z","gNB_009","gNB_015",17,100,59.21,17.94,59.42,32.94,1.7349999999999999,0,0,12.77,20.54
"2025-06-29T20:57:17.940Z","gNB_013","gNB_015",26,500,87.88,17.94,45.13,32.94,1.87,1,0,27.52,20.54
"2025-06-29T20:57:17.940Z","gNB_017","gNB_015",24,100,98.34,17.94,50.55,32.94,1.5499999999999998,2,0,21.11,20.54
"2025-06-29T20:57:17.940Z","MONITOR_004","gNB_015",23,200,17.3,17.94,59.19,32.94,1.785,1,0,29.57,20.54
"2025-06-29T20:57:17.940Z","AMF_003","gNB_016",17,500,67.84,46.97,47.61,35.02,1.03,0,0,12.66,22.2
"2025-06-29T20:57:17.940Z","AMF_008","gNB_016",27,200,100,46.97,26.47,35.02,1.62,2,0,24.43,22.2
"2025-06-29T20:57:17.940Z","SMF_003","gNB_016",21,200,22.8,46.97,50.79,35.02,1.26,0,0,22.79,22.2
"2025-06-29T20:57:17.940Z","gNB_001","gNB_018",16,200,100,49.84,69.64,26.61,1.235,2,0,19.26,22.06
"2025-06-29T20:57:17.940Z","gNB_016","gNB_018",18,100,46.97,49.84,35.02,26.61,1.175,0,0,22.2,22.06
"2025-06-29T20:57:17.940Z","UPF_003","gNB_018",19,100,75.91,49.84,41.59,26.61,1.255,1,0,13.05,22.06
"2025-06-29T20:57:17.940Z","AMF_001","gNB_018",24,1000,100,49.84,51.84,26.61,1.65,2,0,23.98,22.06
"2025-06-29T20:57:17.940Z","SMF_002","gNB_018",25,1000,59.62,49.84,49.98,26.61,1.33,0,0,22.94,22.06
"2025-06-29T20:57:17.940Z","gNB_020","gNB_019",20,1000,21.11,27.09,76.83,31.08,1.5950000000000002,0,0,20.72,23.87
"2025-06-29T20:57:17.940Z","gNB_009","gNB_020",12,200,59.21,21.11,59.42,76.83,1.5750000000000002,0,0,12.77,20.72
"2025-06-29T20:57:17.940Z","gNB_015","gNB_020",17,1000,17.94,21.11,32.94,76.83,1.77,0,0,20.54,20.72
"2025-06-29T20:57:17.940Z","UPF_002","gNB_020",24,100,100,21.11,42.02,76.83,1.56,2,0,18.11,20.72
"2025-06-29T20:57:17.940Z","AMF_002","gNB_020",18,1000,99.28,21.11,62.45,76.83,1.5350000000000001,2,0,12.94,20.72
"2025-06-29T20:57:17.940Z","EDGE_DC_003","gNB_020",18,1000,43.44,21.11,41.45,76.83,1.46,0,0,10.24,20.72
"2025-06-29T20:57:17.940Z","EDGE_DC_004","gNB_020",22,200,53.25,21.11,81.35,76.83,1.73,1,0,25.67,20.72
"2025-06-29T20:57:17.940Z","FIREWALL_001","gNB_020",15,1000,100,21.11,33.81,76.83,1.115,2,0,11.47,20.72
"2025-06-29T20:57:17.940Z","gNB_006","UPF_001",21,200,51.57,17.62,28.69,72.02,1.625,0,0,16.73,19.05
"2025-06-29T20:57:17.940Z","EDGE_DC_003","UPF_002",17,500,43.44,100,41.45,42.02,1.4100000000000001,0,2,10.24,18.11
"2025-06-29T20:57:17.940Z","gNB_002","UPF_003",16,500,19.58,75.91,24.59,41.59,1.2799999999999998,0,1,10.37,13.05
"2025-06-29T20:57:17.940Z","gNB_003","UPF_003",13,50,100,75.91,32.3,41.59,1.33,2,1,22.06,13.05
"2025-06-29T20:57:17.940Z","EDGE_DC_005","UPF_003",14,500,93.64,75.91,19.44,41.59,1.565,2,1,25.74,13.05
"2025-06-29T20:57:17.940Z","MONITOR_002","UPF_004",17,1000,46.71,19.92,62.41,40.64,1.28,0,0,16.66,14.64
"2025-06-29T20:57:17.940Z","UPF_008","UPF_005",16,200,19.75,100,19.16,22.3,1.045,0,2,14.23,15.42
"2025-06-29T20:57:17.940Z","AMF_004","UPF_005",17,1000,20.77,100,44.21,22.3,1.395,0,2,15.39,15.42
"2025-06-29T20:57:17.940Z","gNB_007","UPF_006",30,1000,100,18.74,54.13,15.62,1.92,2,0,29.77,23.63
